genes,logFC.genotypenpr1.1,logFC.genotypenpr1.1.treatmentuntreated,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT3G22600.1,-0.9755166454484561,0.3744630644012105,4.860922782997491,27.74054001403622,9.467128532376169e-7,8.68587068352743e-6,AT3G22600,LTPG5,glycosylphosphatidylinositol-anchored lipid protein transfer 5
AT4G37240.1,-0.18968686040257615,-1.268796518515687,3.4251933611894105,27.73760643892471,9.481024987778635e-7,8.693872203585878e-6,AT4G37240,NA,NA
AT5G59680.1,-0.8123805198177002,0.49088366391541377,3.1796518944475336,27.73313170161906,9.502261283735625e-7,8.708591778803861e-6,AT5G59680,NA,NA
AT5G66880.1,0.6330876884075072,-0.7389548550946189,5.548859178537589,27.71993997301459,9.565144064894923e-7,8.761442483433469e-6,AT5G66880,SNRK2-3;SNRK2.3;SRK2I,SUCROSE NONFERMENTING 1 (SNF1)-RELATED PROTEIN KINASE 2-3;sucrose nonfermenting 1(SNF1)-related protein kinase 2.3;NA
AT1G07890.3,-0.6111272336266204,0.3717006973125885,8.792869135769564,27.70531517418923,9.635344573005977e-7,8.820934794655445e-6,AT1G07890,APX1;ATAPX01;ATAPX1;CS1;MEE6,ascorbate peroxidase 1;NA;NA;NA;maternal effect embryo arrest 6
AT1G47400.1,-0.33394668193063604,2.1015143388647197,2.085212343657197,27.702891408564106,9.647028559868566e-7,8.82682095736558e-6,AT1G47400,NA,NA
AT3G55760.1,0.7856147589351677,-0.3304086360265391,5.260079466457257,27.69896824037796,9.665970589755513e-7,8.839338047757368e-6,AT3G55760,LESV,LIKE EARLY STARVATION
AT4G39510.1,0.47972475933008046,0.19915712189155166,2.9380010878571188,27.6885399115242,9.716502175268072e-7,8.880713821671836e-6,AT4G39510,CYP96A12,"""cytochrome P450, family 96, subfamily A, polypeptide 12"""
AT5G02190.1,0.4823281650057961,0.41678056863673313,2.349166366551236,27.669951377121507,9.807230918216855e-7,8.958764121540235e-6,AT5G02190,ATASP38;EMB24;PCS1,ARABIDOPSIS THALIANA ASPARTIC PROTEASE 38;EMBRYO DEFECTIVE 24;PROMOTION OF CELL SURVIVAL 1
AT4G36648.1,-0.5074310759922122,0.22933981889574218,7.891930707200853,27.642314586620852,9.943691774979208e-7,9.078482506949766e-6,AT4G36648,NA,NA
AT1G33560.1,-1.020432408693933,0.3974743288380928,4.477565473705476,27.637891016373445,9.965709424701011e-7,9.090771197955647e-6,AT1G33560,ADR1,ACTIVATED DISEASE RESISTANCE 1
AT2G31990.1,-1.0789721599988973,0.8075812339656971,2.247694506506702,27.637436472218866,9.96797460958051e-7,9.090771197955647e-6,AT2G31990,NA,NA
AT3G06510.2,-0.23952981695150463,-0.2519991729445677,6.452680405918417,27.636019683571927,9.975038367878168e-7,9.092277240476687e-6,AT3G06510,ATSFR2;SFR2,SENSITIVE TO FREEZING 2;SENSITIVE TO FREEZING 2
AT1G63740.1,-0.6731113943446982,0.19238508128523088,4.025095783519574,27.62390146784189,1.0035661677421893e-6,9.142574865456095e-6,AT1G63740,NA,NA
AT4G17950.1,-0.3124462747015476,-0.2709941973709757,5.677459390186207,27.620339299806282,1.005355196136365e-6,9.153908910512084e-6,AT4G17950,AHL13,AT-hook motif nuclear localized protein 13
AT3G09050.1,0.6762963800011909,-0.8693889609081705,5.1636612828325275,27.59125839662469,1.020080310164328e-6,9.28295185831557e-6,AT3G09050,NA,NA
AT2G21850.1,-0.8441744979479712,0.6444167761860822,3.404358670241242,27.583141604852706,1.0242286119301474e-6,9.31565590244426e-6,AT2G21850,NA,NA
AT1G65070.2,0.5232256321137801,-0.310259602916007,5.333830479240881,27.57425667396703,1.0287888339587467e-6,9.352069059346854e-6,AT1G65070,NA,NA
AT1G17460.2,0.6600827718465083,-0.08743900849701905,3.0890622962744323,27.57025501696988,1.0308493246335797e-6,9.365731641167931e-6,AT1G17460,TRFL3,TRF-like 3
AT1G12090.1,1.1933458475830403,-0.8794587836167158,9.708111789482441,27.526189650197054,1.0538137564715988e-6,9.569198537819671e-6,AT1G12090,ELP,extensin-like protein
AT4G27370.1,0.7113119200166644,-0.26723683175634794,3.4887431846090977,27.51418675095774,1.0601571824758912e-6,9.61941560955114e-6,AT4G27370,ATVIIIB;VIIIB,MYOSIN VIII B;NA
AT3G58620.1,-0.5566574859146698,-0.20605574607160781,5.218942179922937,27.51302374231706,1.0607738477371209e-6,9.61941560955114e-6,AT3G58620,TTL4,tetratricopetide-repeat thioredoxin-like 4
AT5G61590.1,0.4565135515091278,-1.9718471114677913,7.5077404820016875,27.51248091220924,1.0610617968032778e-6,9.61941560955114e-6,AT5G61590,DEWAX;ERF107,Decrease Wax Biosynthesis;NA
AT3G07310.1,0.8857115226365927,-1.0790880761087451,5.448129766269435,27.476393524088433,1.0803810423699517e-6,9.789277848313278e-6,AT3G07310,NA,NA
AT1G11380.1,0.3857816263525401,-1.160683679659152,4.299932531780899,27.460468023217373,1.0890181890706882e-6,9.862219168840157e-6,AT1G11380,NA,NA
AT5G54980.1,0.6662596007714506,-1.2009327507109469,3.5689213195362823,27.458592181420578,1.0900400811410045e-6,9.866154807698131e-6,AT5G54980,CASPL2D1,CASP-like protein 2D1
AT1G05170.2,-1.1656745757081977,1.5882015102734566,3.6422902291773993,27.443707470341536,1.0981828099340212e-6,9.934503513237276e-6,AT1G05170,NA,NA
AT5G46230.1,-1.376418925210195,1.1414563939429632,2.6203747830223243,27.439998491375654,1.1002212679706754e-6,9.942975764985168e-6,AT5G46230,NA,NA
AT1G45230.1,0.625795608179238,-0.44755377480639774,4.727025282623506,27.43984972290542,1.1003031101319977e-6,9.942975764985168e-6,AT1G45230,NA,NA
AT5G20790.1,-1.217516459405408,2.4305506882780317,1.7401925076110356,27.437157378390193,1.1017853050748467e-6,9.951016849436748e-6,AT5G20790,NA,NA
AT5G03470.1,0.5372727253413806,-0.9928578411898628,4.581748437213454,27.393289179243446,1.12621895917818e-6,1.0166229067831403e-5,AT5G03470,ATB' ALPHA,"NA"
AT5G08280.1,0.5797708183764354,-0.42367104788571014,8.705511555451688,27.389280531299775,1.1284785305356646e-6,1.0181155120552433e-5,AT5G08280,HEMC;RUG1,hydroxymethylbilane synthase;RUGOSA 1
AT4G29780.1,-1.4145235483138,0.15996340631161782,3.9326687656582804,27.34731549347245,1.152407014679933e-6,1.0391457562860008e-5,AT4G29780,NA,NA
AT1G23090.1,-0.3211149003267174,-0.2686449565765352,5.872598073908385,27.333264124080593,1.160531971277268e-6,1.0459107610239712e-5,AT1G23090,AST91;SULTR3;3,sulfate transporter 91;NA
AT4G01700.1,-1.5121397976379976,1.5441261175305088,5.445030581883691,27.315618847311825,1.1708162256123476e-6,1.0546134999496959e-5,AT4G01700,NA,NA
AT1G18090.1,0.4553322830377313,0.19264383408368194,3.3126971837354344,27.313119010561447,1.1722805652885997e-6,1.0553666246668375e-5,AT1G18090,NA,NA
AT2G19130.1,-0.8116727353319955,0.49786960604707203,4.381770706019289,27.31011337297469,1.1740436149935274e-6,1.0563877176366506e-5,AT2G19130,NA,NA
AT1G03590.1,-0.49048587632372104,0.28286769950428725,5.1121185415749535,27.307499032911142,1.1755792931005758e-6,1.0572032411561334e-5,AT1G03590,NA,NA
AT4G11530.1,-0.9858370753501935,0.6016440943670075,2.928972310297292,27.304380933228003,1.1774135092569143e-6,1.0582862248264797e-5,AT4G11530,CRK34,cysteine-rich RLK (RECEPTOR-like protein kinase) 34
AT5G62900.1,0.4686083249900706,-0.8709155073613388,4.544320171914074,27.290044749781675,1.1858836383511634e-6,1.0653293711583527e-5,AT5G62900,NA,NA
AT3G53150.1,-1.6145353270364782,2.0381646441221375,1.582516909936714,27.270758732868572,1.1973744382026414e-6,1.075077134546562e-5,AT3G53150,UGT73D1,UDP-glucosyl transferase 73D1
AT1G14360.1,-0.8685041492509565,0.673579250354739,5.24278801234372,27.26921682922847,1.1982979121362714e-6,1.0753315505329714e-5,AT1G14360,ATUTR3;UTR3,NA;UDP-galactose transporter 3
AT1G29690.1,-0.8147736544287034,-0.08988069531451148,5.054637854963693,27.23393101919552,1.2196269683794235e-6,1.0938875302619293e-5,AT1G29690,CAD1;NSL2,constitutively activated cell death 1;necrotic spotted lesion 2
AT4G34710.1,-0.4912214390212536,0.9222990221732462,9.173815560654988,27.23094346223661,1.2214501822975862e-6,1.0949381863616408e-5,AT4G34710,ADC2;ATADC2;SPE2,arginine decarboxylase 2;NA;NA
AT5G41800.1,-0.5672656215555713,0.3959791392992637,4.237698211990513,27.21514403054836,1.2311375048246461e-6,1.103033543655959e-5,AT5G41800,NA,NA
AT3G13730.1,-0.058669064821353215,-0.6932899830399407,4.130539248735722,27.210560724453426,1.2339620800765242e-6,1.1049748924949643e-5,AT3G13730,CYP90D1,"""cytochrome P450, family 90, subfamily D, polypeptide 1"""
AT3G47380.1,-1.6640159542445856,1.9248576347118083,2.4634870264923654,27.208468333797004,1.2352537209764163e-6,1.105542208773725e-5,AT3G47380,AtPMEI11,"NA"
AT3G28080.1,0.7445977731033513,-1.2214725988529473,4.103987834995941,27.195625754125185,1.2432111643223349e-6,1.112071584102817e-5,AT3G28080,UMAMIT47,Usually multiple acids move in and out Transporters 47
AT2G01990.1,0.4457474343308502,0.24333589525538127,2.8587056974023963,27.187657660665256,1.2481740553265384e-6,1.1159167618643172e-5,AT2G01990,NA,NA
AT5G05100.1,-0.3287085246760927,-0.1884512842837023,6.272393791649789,27.177370610366484,1.2546106090685756e-06,1.1210746607310108e-5,AT5G05100,NA,NA
AT4G19390.1,0.45212149015565906,-1.0048489818109057,4.017160076948242,27.173213260013334,1.2572212493945104e-6,1.1228101950334066e-5,AT4G19390,NA,NA
AT4G34020.1,0.6235847444950793,-0.6543523565299236,4.900542166157636,27.168671242231603,1.2600796545328973e-6,1.1247650433845985e-5,AT4G34020,AtDJ1C;DJ-1c;DJ1C,DJ-1 homolog C;NA;DJ-1 homolog C
AT2G42250.1,0.7728600381112338,0.12549597693449419,2.797059699380274,27.141834115016472,1.2771020662676845e-6,1.1393540951264383e-5,AT2G42250,CYP712A1,"""cytochrome P450, family 712, subfamily A, polypeptide 1"""
AT1G58410.1,-0.9387994989497739,0.32275446205330305,2.0952637860585113,27.115003733442588,1.2943500680862946e-6,1.1541288107102793e-5,AT1G58410,NA,NA
AT2G43160.3,-0.3951221305188091,-0.06553717910245609,8.388452059072318,27.105719681210843,1.3003724420997814e-6,1.158883642166272e-5,AT2G43160,NA,NA
AT5G67280.1,0.11004801509040002,0.7681136225990005,5.1530813451543915,27.098233928264776,1.3052486954337695e-6,1.1626125575075236e-5,AT5G67280,RLK,receptor-like kinase
AT1G13640.1,-0.4868482244681296,-0.2126725743739383,6.17717756136259,27.084974047306346,1.3139311669257202e-6,1.1697260028185043e-5,AT1G13640,NA,NA
AT3G25610.1,-1.3327179601843937,0.9251845093488683,5.328320466260481,27.06588974203367,1.3265289078696236e-6,1.1799700196038823e-5,AT3G25610,ALA10,Aminophospholipid ATPase10
AT4G37610.1,0.2583229526500558,-1.6933581230001555,5.651865068754898,27.06541641247896,1.3268428876907753e-6,1.1799700196038823e-5,AT4G37610,BT5,BTB and TAZ domain protein 5
AT3G46600.1,-0.38017933220480804,-0.6840117930770991,5.94293039408793,27.032232555233158,1.3490414191475264e-6,1.1990765502782696e-5,AT3G46600,NA,NA
AT1G80850.1,-0.24684568402156404,-0.4744095161402139,3.5537436117497365,27.02563441598387,1.353499350184969e-6,1.2024027278560176e-5,AT1G80850,NA,NA
AT1G25230.1,1.0817674472347676,-1.293932752800992,5.06907822191399,27.016068116500918,1.3599888479992856e-6,1.2075292102293868e-5,AT1G25230,NA,NA
AT5G08600.2,0.8227014173064209,-0.17678117946071625,3.0478266043760986,26.99747565871344,1.3726905631757794e-6,1.2181631680290502e-5,AT5G08600,NA,NA
AT2G28940.2,-0.7413539302113256,0.19210022157206655,3.827215230322006,26.992114726450094,1.3763749494699838e-6,1.2207878973678066e-5,AT2G28940,NA,NA
AT5G63190.1,0.1816326441874346,-0.7462397274524496,6.18222240034535,26.951515320438986,1.4046004677346844e-6,1.2451653434023727e-5,AT5G63190,MRF1,MA3 domain-containing translation regulatory factor 1
AT1G06450.1,0.7012118435448494,0.03189600730594584,2.2331773661938534,26.88859662818163,1.4494906862588098e-6,1.2842823859948178e-5,AT1G06450,NA,NA
AT1G67470.1,-0.5652246803080038,-0.5368358349103889,3.4270689765875306,26.877634059570333,1.4574575712426664e-6,1.2901489431294023e-5,AT1G67470,NA,NA
AT2G20250.1,1.1198018311575126,-0.5539494299920136,1.9719522148922055,26.877372908223446,1.4576478921719182e-6,1.2901489431294023e-5,AT2G20250,NA,NA
AT1G21920.1,0.6015400727326672,-0.6127973246544548,5.352533338245966,26.856489515841737,1.4729479488748518e-6,1.3030043492969267e-5,AT1G21920,NA,NA
AT4G01250.1,-0.7577914794475407,-0.9723210981967405,4.985364730530767,26.844829802130512,1.4815601039964207e-6,1.309933062475572e-5,AT4G01250,AtWRKY22;WRKY22,NA;NA
AT4G33670.1,0.6545144022898776,-0.7798252415603422,4.825799601728097,26.826826554571095,1.494956756010379e-6,1.3210825115317389e-5,AT4G33670,NA,NA
AT1G76990.1,0.2555836892424589,-0.9690147231831486,7.220153571086852,26.824194811864334,1.4969252216198726e-6,1.3221265403781408e-5,AT1G76990,ACR3,ACT domain repeat 3
AT1G52770.1,-0.8167176732394512,0.0032887046948858857,2.657691340249437,26.82217955545095,1.498434325876808e-6,1.3227639642882029e-5,AT1G52770,NA,NA
AT3G59880.1,-1.637672315027861,1.3075156166750894,2.5374411668289416,26.80576676978175,1.5107816608383045e-6,1.3329632941398467e-5,AT3G59880,NA,NA
AT2G16630.1,-0.6466692952075358,0.11768629130718905,5.024083084188115,26.801361536563533,1.5141130011030647e-6,1.33520127588086e-5,AT2G16630,FOCL1,FUSED OUTER CUTICULAR LEDGE1
AT1G33960.1,-4.04561617153238,4.276394477372246,3.186389490760847,26.79798570471474,1.5166708546625498e-6,1.3367551777269765e-5,AT1G33960,AIG1,AVRRPT2-INDUCED GENE 1
AT1G30420.1,-0.7128729513016562,0.4717174566674672,5.758179650909525,26.776789326488256,1.5328302983687064e-6,1.3502892596903985e-5,AT1G30420,ABCC11;ATMRP12;MRP12,ATP-binding cassette C11;multidrug resistance-associated protein 12;multidrug resistance-associated protein 12
AT3G26932.1,0.9735801422737581,-0.7312452430584783,3.7790729729582737,26.765070300411942,1.541838302974189e-6,1.3575126651815198e-5,AT3G26932,DRB3,dsRNA-binding protein 3
AT4G39070.1,0.36605150808777565,-1.5493272515908698,3.16746624766236,26.75210257452259,1.5518678511842964e-6,1.3656274506047668e-5,AT4G39070,BBX20;BZS1;STH7,B-box domain protein 20;BZS1;SALT TOLERANCE HOMOLOG 7
AT3G01820.1,-0.8921069591788774,0.7087836443559647,4.9192195664578655,26.74648238734875,1.5562348780840677e-6,1.3679790823431192e-5,AT3G01820,NA,NA
AT4G35440.2,0.7737332085311972,-0.7901995757956009,4.290671244891983,26.744925818913817,1.557446542576865e-6,1.3679790823431192e-5,AT4G35440,ATCLC-E;CLC-E;CLCE,NA;chloride channel E;CHLORIDE CHANNEL E
AT3G01060.1,0.7808427929130086,-0.49295503805422636,3.5803296759598946,26.744599151308222,1.5577009470191748e-6,1.3679790823431192e-5,AT3G01060,NA,NA
AT1G16520.1,-0.4696650277215525,0.2347290188841006,4.929042362478884,26.74369735426217,1.558403470446987e-6,1.3679790823431192e-5,AT1G16520,NA,NA
AT1G52040.1,1.8635634301188895,-0.46613429797720773,3.3213748149310645,26.743430008737885,1.558611800467129e-6,1.3679790823431192e-5,AT1G52040,ATMBP;MBP1,NA;myrosinase-binding protein 1
AT2G44140.1,-0.21933391721387055,-0.3716304784811444,5.38361612595387,26.742190531003374,1.5595780321535817e-6,1.3681123426709147e-5,AT2G44140,ATG4A,autophagy 4a
AT1G80050.1,0.9636709543523168,-0.6590393017492197,2.9529351612170815,26.737641035984012,1.563129716459382e-6,1.3705123229019394e-5,AT1G80050,APT2;ATAPT2;PHT1.1,adenine phosphoribosyl transferase 2;NA;NA
AT1G17590.1,-0.7933820902432942,0.31972666821952483,3.585404300760622,26.72767941449179,1.5709347914132976e-6,1.3766371184638491e-5,AT1G17590,NF-YA8,"""nuclear factor Y, subunit A8"""
AT4G26660.1,0.5576499688847717,-0.19821769290383978,4.188722361289914,26.716795114636746,1.5795073595171718e-6,1.3834277441360255e-5,AT4G26660,NA,NA
AT4G23820.1,0.6694450345663255,-0.6926511044613991,6.789166523706028,26.71386195079709,1.58182553593518e-6,1.384086511297081e-5,AT4G23820,NA,NA
AT4G27500.1,-0.5845683490938781,0.4606058972992506,8.441693155098925,26.71375855270812,1.581907316917909e-6,1.384086511297081e-5,AT4G27500,PPI1,proton pump interactor 1
AT5G01520.1,1.0849237560380447,-1.1523337610004136,2.5276295489332896,26.709402137993326,1.5853567945492565e-6,1.3863825503192588e-5,AT5G01520,AIRP2;AtAIRP2,ABA Insensitive RING Protein 2;NA
AT5G22690.1,-0.712288801867989,0.46031432968029473,4.332214203835219,26.701878987589996,1.591331463391648e-6,1.3908833118374764e-5,AT5G22690,NA,NA
AT2G19460.1,-0.6615408301728086,-0.03492458110237218,3.274181123274063,26.699654012883506,1.5931027846230395e-6,1.3916653155572005e-5,AT2G19460,NA,NA
AT2G47650.2,-0.6129859319242117,0.37757963124711763,6.588646641515885,26.69867474955531,1.593883009186293e-6,1.3916653155572005e-5,AT2G47650,UXS4,UDP-xylose synthase 4
AT1G07720.1,-0.5873351458731146,0.434142906680283,6.108482499749415,26.696602388778103,1.5955354154497762e-6,1.3923843867086127e-5,AT1G07720,KCS3,3-ketoacyl-CoA synthase 3
AT5G59420.1,-0.5355223053107528,0.4038756567979248,6.496195003857839,26.672194496412597,1.6151265451871573e-6,1.4087492644132425e-5,AT5G59420,ORP3C,OSBP(oxysterol binding protein)-related protein 3C
AT3G13470.1,-0.8247882142536801,0.7648730236039738,7.839028762053583,26.65147171372457,1.6319485023345619e-6,1.422683076840597e-5,AT3G13470,Cpn60beta2;CPNB2,chaperonin-60beta2;NA
AT5G50900.1,-0.4306457148126595,0.11225605476230156,4.785640779005574,26.627115459781493,1.6519440856605453e-6,1.4393676709030862e-5,AT5G50900,NA,NA
AT2G34780.1,0.2466357979587468,0.2932911676596302,4.499912425341178,26.611737203269364,1.664695054702639e-6,1.4497258799351807e-5,AT2G34780,EMB1611;MEE22,EMBRYO DEFECTIVE 1611;MATERNAL EFFECT EMBRYO ARREST 22
AT4G22740.1,-0.6236960552465867,0.5301383596095561,5.166340067473463,26.600827314690818,1.6738006862618707e-6,1.4564475909736493e-5,AT4G22740,NA,NA
AT5G44930.1,0.386114613011729,0.13928483292476398,3.928275223922589,26.60041301687126,1.674147448163651e-6,1.4564475909736493e-5,AT5G44930,ARAD2,ARABINAN DEFICIENT 2
AT5G13210.1,0.4655544808521419,0.5923799730516927,2.237607481710195,26.583617680174985,1.6882655799248867e-6,1.4679696416748537e-5,AT5G13210,NA,NA
AT4G00750.1,0.1370441529953995,-0.9536972970789726,4.696818921788848,26.569977813551965,1.699818789873066e-6,1.4772506906920661e-5,AT4G00750,NA,NA
AT5G57710.1,-0.9601755081668976,0.7862021124331254,7.802275725589027,26.563859478362495,1.7050267824314158e-6,1.4810105955566368e-5,AT5G57710,SMAX1,SUPPRESSOR OF MAX2 1
AT4G08040.1,-0.3468627652162983,-1.698555466028042,2.5181099136624674,26.56248857486824,1.7061958966582522e-6,1.4812601998946758e-5,AT4G08040,ACS11,1-aminocyclopropane-1-carboxylate synthase 11
AT4G38890.1,0.5300251922707883,-0.22821372606828877,5.394966934864133,26.548914786486517,1.7178150520668985e-6,1.489970003994141e-5,AT4G38890,NA,NA
AT3G61830.1,0.6191516467598455,-0.24850252591790997,4.2649380335869225,26.548696906332555,1.7180022011647428e-6,1.489970003994141e-5,AT3G61830,ARF18,auxin response factor 18
AT3G23890.1,0.480407203021972,-0.2082744263056438,5.842582426461958,26.544585000977488,1.7215379658271928e-6,1.4922660623287416e-5,AT3G23890,ATTOPII;TOPII,NA;topoisomerase II
AT2G02800.1,-0.7546802070821751,0.33106411209335457,6.091918724383743,26.53920735276803,1.7261731073544624e-6,1.4954731759672289e-5,AT2G02800,APK2B;Kin2,protein kinase 2B;kinase 2
AT3G15630.1,0.7656544589027844,-1.7016220140230005,5.780270649653753,26.538228380588144,1.727018251905723e-6,1.4954731759672289e-5,AT3G15630,NA,NA
AT1G01340.2,-0.6097898081157573,-0.004195484752799641,4.669857206688244,26.52125328134167,1.741738787285935e-6,1.5074430647921908e-5,AT1G01340,ACBK1;ATCNGC10;CNGC10,NA;cyclic nucleotide gated channel 10;cyclic nucleotide gated channel 10
AT2G40815.1,0.5799040095506909,-1.2771030538904304,4.104819101717038,26.49713821843187,1.762866978439995e-6,1.5249434794445662e-5,AT2G40815,NA,NA
AT1G13100.1,-0.08982287061985862,-0.7179665265381979,3.8843903200621765,26.49518252217689,1.7645916377038688e-6,1.5256497643740241e-5,AT1G13100,CYP71B29,"""cytochrome P450, family 71, subfamily B, polypeptide 29"""
AT5G08630.1,-0.5529904227026875,0.3160114092726138,5.18777691928882,26.455942756253336,1.7995545820033012e-6,1.55402218606241e-5,AT5G08630,NA,NA
AT3G26210.1,-1.491048389374556,1.2666147016333251,5.483651849111048,26.45569727219975,1.7997754765362651e-6,1.55402218606241e-5,AT3G26210,CYP71B23,"""cytochrome P450, family 71, subfamily B, polypeptide 23"""
AT2G30920.1,0.638813863798911,-0.17711394767591956,3.6688083449356097,26.455000788386613,1.800402342923847e-6,1.55402218606241e-5,AT2G30920,ATCOQ3;COQ3;COQ3;EMB3002,coenzyme Q 3;NA;coenzyme Q 3;embryo defective 3002
AT5G03380.1,-0.5740126411363574,-0.012667880056468586,7.192231198734991,26.454217141638523,1.8011079208664278e-6,1.55402218606241e-5,AT5G03380,NA,NA
AT4G09010.1,0.7411824473249465,-0.5781001955163153,8.2665407420308,26.429750329141026,1.8232769305340826e-6,1.572342359139736e-5,AT4G09010,APX4;TL29,ascorbate peroxidase 4;thylakoid lumen 29
AT3G09920.1,-0.7353867429532076,0.4031951016625223,5.397981249174146,26.428491259074924,1.8244251086080478e-6,1.5725252642127548e-5,AT3G09920,PIP5K9,phosphatidyl inositol monophosphate 5 kinase
AT5G67385.1,-0.08479099564137793,-0.6036199998540166,6.356562965919877,26.42640605109719,1.8263282534444753e-6,1.5733583758776276e-5,AT5G67385,NCH1,NRL PROTEIN FOR CHLOROPLAST MOVEMENT1
AT1G32170.1,0.09243761822388684,-0.8432967298130395,4.580240771756212,26.424053331774612,1.8284779364824055e-6,1.5744029141449477e-5,AT1G32170,XTH30;XTR4,xyloglucan endotransglucosylase/hydrolase 30;xyloglucan endotransglycosylase 4
AT1G77110.1,0.5560912159472949,0.4077363490327456,2.199311485794789,26.421409396514854,1.8308967235532336e-6,1.575677974332519e-5,AT1G77110,PIN6,PIN-FORMED 6
AT4G23030.1,-1.9219888071636066,1.4653152400850478,1.7101172898583417,26.418954208675494,1.8331457013719452e-6,1.5767841945646065e-5,AT4G23030,NA,NA
AT2G15820.1,0.5241461977175618,-0.24157597205670522,4.711875405640872,26.4179576382259,1.8340593584018342e-6,1.5767841945646065e-5,AT2G15820,OTP51,ORGANELLE TRANSCRIPT PROCESSING 51
AT2G24100.1,-0.8797181343363437,0.7877381422135374,3.441213413177267,26.38255904500858,1.8668098947503312e-6,1.6041196635248497e-5,AT2G24100,ASG1,ALTERED SEED GERMINATION 1
AT2G45850.1,0.9737965118395344,-1.1830758651707953,4.904638514348884,26.364011082396537,1.8842031826681703e-6,1.618237692517515e-5,AT2G45850,AHL9,AT-hook motif nuclear localized protein 9
AT5G17060.1,-0.7398466623147741,0.7199036825625099,3.546865109097019,26.349707606139813,1.8977268114957584e-6,1.629019555764806e-5,AT5G17060,ARFB1B;ATARFB1B,ADP-ribosylation factor B1B;ADP-ribosylation factor B1B
AT4G15233.2,-0.7779880706249891,-0.18044124174858434,5.6747528670317156,26.335639572815634,1.9111225110629153e-6,1.6396806467490252e-5,AT4G15233,ABCG42,ATP-binding cassette G42
AT3G07650.1,0.5196156666892721,-0.9847445166315503,6.554919438140988,26.309995008448695,1.9357852415307562e-6,1.6599926632197637e-5,AT3G07650,BBX7;COL9,B-box domain protein 7;CONSTANS-like 9
AT5G40390.1,-0.5483672382045526,1.146703179737409,4.624975165870578,26.296795367601852,1.948603328512203e-6,1.6693289888470156e-5,AT5G40390,RS5;SIP1,raffinose synthase 5;seed imbibition 1-like
AT2G47060.4,-0.7696082633143491,0.09125199490984459,5.617331448097299,26.296127002824164,1.94925462624749e-6,1.6693289888470156e-5,AT2G47060,PTI1-4,Pto-interacting 1-4
AT5G51970.1,-0.02402424094342225,-0.7164987684047277,6.608433507630556,26.29571744411316,1.949653834226945e-6,1.6693289888470156e-5,AT5G51970,ATSDH,SORBITOL DEHYDROGENASE
AT2G43290.1,-0.5816852354499916,0.047890387526552426,5.082202839329514,26.291689380973573,1.953584455468225e-6,1.6718423467860778e-5,AT2G43290,AtCML5;MSS3,NA;multicopy suppressors of snf4 deficiency in yeast 3
AT5G58250.1,0.5848623813336856,-0.3717507891566399,7.365071361677765,26.279355874038878,1.9656689519414036e-6,1.6813275317547677e-5,AT5G58250,EMB3143;LCAA/YCF54,EMBRYO DEFECTIVE 3143;low chlorophyll accumulation/hypothetical chloroplast open reading frame 54
AT5G04870.1,-0.4836649456992324,0.29925299826725854,6.997885034483009,26.273898542797564,1.97103992970082e-6,1.685063601986976e-5,AT5G04870,ATCPK1;CPK1,NA;calcium dependent protein kinase 1
AT3G29320.1,0.7042631998877609,-0.7395938277874132,8.16386019081862,26.245529030576662,1.9991978851220834e-6,1.7082667991946022e-5,AT3G29320,PHS1,alpha-glucan phosphorylase 1
AT5G15850.1,-0.49837076651644724,1.3208870570726041,3.8549816349048687,26.238671969651946,2.00606395951833e-6,1.7132622499211196e-5,AT5G15850,ATCOL1;BBX2;COL1,NA;B-box domain protein 2;CONSTANS-like 1
AT5G58590.1,-0.790075008900923,0.7740551362084794,5.266641755393106,26.218985739779313,2.025907377951955e-6,1.7293301850718945e-5,AT5G58590,RANBP1,RAN binding protein 1
AT5G07570.1,-0.5213930200930195,-0.48618160989137893,2.431600635680515,26.21143857388578,2.033566750033986e-6,1.7349866853134043e-5,AT5G07570,NA,NA
AT5G03490.1,-0.6013003416438374,0.051077601638893744,3.8119960728636535,26.194592088050015,2.0507683215613873e-6,1.748774468726383e-5,AT5G03490,UGT89A2,UDP glycosyltransferase 89A2
AT4G30210.1,-0.5617126339081491,-0.1293399916360939,7.998949432403733,26.1905742683766,2.054892271149902e-6,1.7508959688433362e-5,AT4G30210,AR2;ATR2,NA;P450 reductase 2
AT4G23810.1,-1.99256045404576,0.5230170027804463,5.4179693871350585,26.19013786100883,2.0553407051366503e-6,1.7508959688433362e-5,AT4G23810,ATWRKY53;WRKY53,NA;NA
AT5G19250.1,-0.4632603146967583,-0.10542990482187299,7.830579296085394,26.18791611755997,2.0576251936619823e-6,1.751953655769267e-5,AT5G19250,NA,NA
AT1G61420.1,-1.1923201153556957,1.2656282038940372,3.597191137063801,26.185571131679254,2.060039159577902e-6,1.7531204580420047e-5,AT1G61420,NA,NA
AT1G22370.2,0.9101076646352588,-1.3634874999250037,3.5916450757575964,26.18394242598888,2.061717441592817e-6,1.7536603190540623e-5,AT1G22370,AtUGT85A5;UGT85A5,UDP-glucosyl transferase 85A5;UDP-glucosyl transferase 85A5
AT2G38400.2,0.8359411582666579,-0.6007794169886844,4.4837631172051635,26.18099964381758,2.0647532671531305e-6,1.7553537517664696e-5,AT2G38400,AGT3,alanine:glyoxylate aminotransferase 3
